epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,78108.7,0.9391,0.6641,1.23883,0.91048,0.89357,0.93128,0.7283,0.79106,0.44908,1.13464,0.0079804,0.0079804,0.0079804
104,78869.1,0.93417,0.66462,1.23475,0.92114,0.87912,0.93107,0.72755,0.79162,0.44898,1.13392,0.0079606,0.0079606,0.0079606
105,79629.2,0.93525,0.66362,1.23485,0.91524,0.87921,0.92981,0.72658,0.79065,0.44917,1.13241,0.0079408,0.0079408,0.0079408
106,80389.3,0.9396,0.665,1.23846,0.90313,0.89832,0.92952,0.7268,0.79094,0.44937,1.13192,0.007921,0.007921,0.007921
107,81149.5,0.93595,0.66166,1.23483,0.9159,0.88492,0.92707,0.72586,0.79017,0.44964,1.13216,0.0079012,0.0079012,0.0079012
108,81907.8,0.93379,0.66326,1.23233,0.91482,0.88238,0.92737,0.72607,0.78979,0.44896,1.13183,0.0078814,0.0078814,0.0078814
109,82667.2,0.93544,0.66013,1.23408,0.91481,0.88028,0.92786,0.7244,0.79214,0.44922,1.13299,0.0078616,0.0078616,0.0078616
110,83425.6,0.93214,0.66115,1.23301,0.9146,0.879,0.92946,0.72535,0.79275,0.44832,1.13282,0.0078418,0.0078418,0.0078418
111,84186.8,0.9308,0.65723,1.23255,0.92061,0.87778,0.93054,0.72489,0.79238,0.44837,1.13287,0.007822,0.007822,0.007822
112,84945,0.93109,0.65393,1.22974,0.92501,0.87778,0.93068,0.72471,0.79301,0.44961,1.13272,0.0078022,0.0078022,0.0078022
113,85705.1,0.932,0.65772,1.23038,0.92434,0.88073,0.93003,0.72516,0.79233,0.45213,1.13215,0.0077824,0.0077824,0.0077824
114,86464.4,0.9268,0.65412,1.22923,0.92732,0.87482,0.93015,0.72578,0.79224,0.45466,1.13121,0.0077626,0.0077626,0.0077626
115,87224.7,0.931,0.66012,1.2313,0.92519,0.87466,0.93006,0.72621,0.79249,0.45514,1.13118,0.0077428,0.0077428,0.0077428
116,87986.3,0.92135,0.6507,1.22635,0.92091,0.87683,0.92933,0.72636,0.79339,0.46124,1.13282,0.007723,0.007723,0.007723
